,id,name,series,printedTotal,total,legalities,ptcgoCode,releaseDate,updatedAt,images
106,det1,Detective Pikachu,Sun & Moon,18,18,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",DET,2019/04/05,2019/04/25 22:26:00,"{'symbol': 'https://images.pokemontcg.io/det1/symbol.png', 'logo': 'https://images.pokemontcg.io/det1/logo.png'}"
107,sm10,Unbroken Bonds,Sun & Moon,214,234,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",UNB,2019/05/03,2020/08/14 09:35:00,"{'symbol': 'https://images.pokemontcg.io/sm10/symbol.png', 'logo': 'https://images.pokemontcg.io/sm10/logo.png'}"
108,sm11,Unified Minds,Sun & Moon,236,258,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",UNM,2019/08/02,2020/09/25 10:09:00,"{'symbol': 'https://images.pokemontcg.io/sm11/symbol.png', 'logo': 'https://images.pokemontcg.io/sm11/logo.png'}"
109,sm115,Hidden Fates,Sun & Moon,68,69,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",HIF,2019/08/23,2019/08/23 15:59:00,"{'symbol': 'https://images.pokemontcg.io/sm115/symbol.png', 'logo': 'https://images.pokemontcg.io/sm115/logo.png'}"
110,sma,Shiny Vault,Sun & Moon,94,94,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",,2019/08/23,2020/05/01 16:06:00,"{'symbol': 'https://images.pokemontcg.io/sma/symbol.png', 'logo': 'https://images.pokemontcg.io/sma/logo.png'}"
111,mcd19,McDonald's Collection 2019,Other,12,12,{'unlimited': 'Legal'},,2019/10/15,2020/11/11 13:00:00,"{'symbol': 'https://images.pokemontcg.io/mcd19/symbol.png', 'logo': 'https://images.pokemontcg.io/mcd19/logo.png'}"
112,sm12,Cosmic Eclipse,Sun & Moon,236,271,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",CEC,2019/11/01,2020/08/14 09:35:00,"{'symbol': 'https://images.pokemontcg.io/sm12/symbol.png', 'logo': 'https://images.pokemontcg.io/sm12/logo.png'}"
113,swshp,SWSH Black Star Promos,Sword & Shield,103,103,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",PR-SW,2019/11/15,2021/03/15 10:46:00,"{'symbol': 'https://images.pokemontcg.io/swshp/symbol.png', 'logo': 'https://images.pokemontcg.io/swshp/logo.png'}"
114,swsh1,Sword & Shield,Sword & Shield,202,216,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",SSH,2020/02/07,2020/08/14 09:35:00,"{'symbol': 'https://images.pokemontcg.io/swsh1/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh1/logo.png'}"
115,swsh2,Rebel Clash,Sword & Shield,192,209,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",RCL,2020/05/01,2020/09/25 10:09:00,"{'symbol': 'https://images.pokemontcg.io/swsh2/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh2/logo.png'}"
116,swsh3,Darkness Ablaze,Sword & Shield,189,201,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",DAA,2020/08/14,2020/10/25 13:45:00,"{'symbol': 'https://images.pokemontcg.io/swsh3/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh3/logo.png'}"
117,swsh35,Champion's Path,Sword & Shield,73,80,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",CPA,2020/09/25,2020/10/25 13:45:00,"{'symbol': 'https://images.pokemontcg.io/swsh35/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh35/logo.png'}"
118,swsh4,Vivid Voltage,Sword & Shield,185,203,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",VIV,2020/11/13,2020/11/13 16:20:00,"{'symbol': 'https://images.pokemontcg.io/swsh4/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh4/logo.png'}"
119,swsh45,Shining Fates,Sword & Shield,72,73,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",SHF,2021/02/19,2021/02/24 16:17:00,"{'symbol': 'https://images.pokemontcg.io/swsh45/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh45/logo.png'}"
120,swsh45sv,Shiny Vault,Sword & Shield,122,122,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",SHF,2021/02/19,2021/02/24 16:17:00,"{'symbol': 'https://images.pokemontcg.io/swsh45sv/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh45sv/logo.png'}"
121,swsh5,Battle Styles,Sword & Shield,163,183,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}",BST,2021/03/19,2021/03/19 15:12:00,"{'symbol': 'https://images.pokemontcg.io/swsh5/symbol.png', 'logo': 'https://images.pokemontcg.io/swsh5/logo.png'}"
